# 2-1
0	DE	O	-
1	UITVRETER	O	-
2	.	O	-

# 3-1
0	I.	O	-

# 4-1
0	Behalve	O	-
1	den	B-AGENT	12
2	man	I-AGENT	12
3	,	O	-
4	die	O	-
5	de	O	-
6	Sarphatistraat	O	-
7	de	O	-
8	mooiste	O	-
9	plek	O	-
10	van	O	-
11	Europa	O	-
12	vond	REALIS	-
13	,	O	-
14	heb	O	-
15	ik	B-AGENT	20
16	nooit	O	-
17	een	O	-
18	wonderlijker	O	-
19	kerel	O	-
20	gekend	IRREALIS	-
21	dan	O	-
22	den	O	-
23	uitvreter	O	-
24	.	O	-

# 4-2
0	Den	B-AGENT	9
1	uitvreter	I-AGENT	9
2	,	O	-
3	dien	O	-
4	je	O	-
5	in	O	-
6	je	O	-
7	bed	O	-
8	vond	O	-
9	liggen	IRREALIS	-
10	met	O	-
11	zijn	O	-
12	vuile	O	-
13	schoenen	O	-
14	,	O	-
15	als	O	-
16	je	B-AGENT	21
17	's	O	-
18	avonds	O	-
19	laat	O	-
20	thuis	O	-
21	kwam	IRREALIS	-
22	.	O	-

# 4-3
0	Den	B-AGENT	6,12,16,20,25,30,35,43
1	uitvreter	I-AGENT	6,12,16,20,25,30,35,43
2	,	O	-
3	die	O	-
4	je	B-PATIENT	6
5	sigaren	I-PATIENT	6
6	oprookte	REALIS	-
7	,	O	-
8	en	O	-
9	van	O	-
10	je	B-PATIENT	12
11	tabak	I-PATIENT	12
12	stopte	REALIS	-
13	en	O	-
14	je	B-PATIENT	16
15	steenkolen	I-PATIENT	16
16	verstookte	REALIS	-
17	en	O	-
18	je	B-PATIENT	20
19	kasten	I-PATIENT	20
20	nakeek	REALIS	-
21	en	O	-
22	geld	B-PATIENT	25
23	van	O	-
24	je	O	-
25	leende	REALIS	-
26	en	O	-
27	je	B-PATIENT	30
28	schoenen	I-PATIENT	30
29	op-droeg	O	-
30	en	REALIS	-
31	een	B-PATIENT	35
32	jas	I-PATIENT	35
33	van	O	-
34	je	O	-
35	aantrok	REALIS	-
36	als	O	-
37	-ie	O	-
38	in	O	-
39	den	O	-
40	regen	O	-
41	naar	O	-
42	huis	O	-
43	moest	IRREALIS	-
44	.	O	-

# 4-4
0	Den	B-AGENT	22,39,42,47,59,66,73,81,85,90
1	uitvreter	I-AGENT	22,39,42,47,59,66,73,81,85,90
2	,	O	-
3	die	O	-
4	altijd	O	-
5	wat	O	-
6	liet	O	-
7	halen	REALIS	-
8	op	O	-
9	den	O	-
10	naam	O	-
11	van	O	-
12	een	O	-
13	ander	O	-
14	;	O	-
15	die	O	-
16	als	O	-
17	een	O	-
18	vorst	O	-
19	jenever	B-PATIENT	22
20	zat	O	-
21	te	O	-
22	drinken	REALIS	-
23	op	O	-
24	't	O	-
25	terras	O	-
26	van	O	-
27	"	O	-
28	Hollandais	O	-
29	"	O	-
30	voor	O	-
31	de	O	-
32	centen	O	-
33	van	O	-
34	de	O	-
35	lui	O	-
36	;	O	-
37	die	O	-
38	parapluies	B-PATIENT	39,42
39	leende	REALIS	-
40	en	O	-
41	nooit	O	-
42	terugbracht	IRREALIS	-
43	;	O	-
44	die	O	-
45	een	O	-
46	barst	O	-
47	stookte	REALIS	-
48	in	O	-
49	de	O	-
50	tweede	O	-
51	hands	O	-
52	kachel	O	-
53	van	O	-
54	Bavink	O	-
55	;	O	-
56	die	O	-
57	dubbele	B-PATIENT	59
58	boorden	I-PATIENT	59
59	droeg	REALIS	-
60	van	O	-
61	zijn	O	-
62	broer	O	-
63	en	O	-
64	de	B-PATIENT	66
65	boeken	I-PATIENT	66
66	uitleende	REALIS	-
67	van	O	-
68	Appi	O	-
69	,	O	-
70	en	O	-
71	buitenlandsche	O	-
72	reizen	O	-
73	maakte	REALIS	-
74	als	O	-
75	-ie	O	-
76	z'n	B-PATIENT	81
77	ouwe	I-PATIENT	81
78	heer	I-PATIENT	81
79	weer	O	-
80	had	O	-
81	afgezet	REALIS	-
82	,	O	-
83	en	O	-
84	pakken	B-PATIENT	85,90
85	droeg	REALIS	-
86	,	O	-
87	die	O	-
88	hij	O	-
89	nooit	O	-
