# 2-1
0	DICHTERTJE	O	-
1	.	O	-

# 3-1
0	In	O	-
1	't	O	-
2	derde	O	-
3	oorlogsjaar	O	-
4	.	O	-

# 3-2
0	Bellum	O	-
1	transit	O	-
2	,	O	-
3	amor	O	-
4	manet	O	-
5	.	O	-

# 4-1
0	I.	-	-

# 5-1
0	Tweemaal	O	-
1	schudde	REALIS	-
2	de	B-AGENT	1
3	God	I-AGENT	1
4	van	I-AGENT	1
5	Nederland	I-AGENT	1
6	zijn	O	-
7	eerbiedwaardig	O	-
8	hoofd	O	-
9	en	O	-
10	tweemaal	O	-
11	schoven	REALIS	-
12	z'n	B-AGENT	11
13	eerbiedwaardige	I-AGENT	11
14	grauwe	I-AGENT	11
15	bakkebaarden	I-AGENT	11
16	heen	O	-
17	en	O	-
18	weer	O	-
19	over	O	-
20	z'n	O	-
21	vest	O	-
22	.	O	-

# 6-1
0	't	O	-
1	Klopte	IRREALIS	-
2	niet	O	-
3	.	O	-

# 6-2
0	Ergens	O	-
1	moest	O	-
2	een	B-AGENT	4
3	fout	I-AGENT	4
4	zijn	REALIS	-
5	.	O	-

# 6-3
0	Een	-	-
1	dichter	-	-
2	met	-	-
3	nergens	-	-
4	haar	-	-
5	,	-	-
6	dat	-	-
7	was	-	-
8	heel	-	-
9	vreemd	-	-
10	.	-	-

# 6-4
0	Sedert	O	-
1	dertig	O	-
2	jaar	O	-
3	hield	IRREALIS	-
4	de	B-AGENT	3
5	God	I-AGENT	3
6	van	I-AGENT	3
7	Nederland	I-AGENT	3
8	niet	O	-
9	van	O	-
10	dichters	O	-
11	.	O	-

# 6-5
0	Je	B-AGENT	1
1	wist	IRREALIS	-
2	niet	O	-
3	meer	O	-
4	,	O	-
5	wat	O	-
6	je	B-AGENT	9
7	er	O	-
8	aan	O	-
9	had	REALIS	-
10	.	O	-

# 6-6
0	Fatsoenlijk	O	-
1	of	O	-
2	onfatsoenlijk	O	-
3	,	O	-
4	je	B-AGENT	5
5	kon	IRREALIS	-
6	er	O	-
7	niet	O	-
8	uit	O	-
9	wijs	O	-
10	.	O	-

# 6-7
0	En	O	-
1	nu	O	-
2	dit	O	-
3	.	O	-

# 6-8
0	"	-	-
1	Hij	-	-
2	heeft	-	-
3	gezegd	-	-
4	,	-	-
5	dat	-	-
6	hij	-	-
7	vol	-	-
8	van	-	-
9	mij	-	-
10	is	-	-
11	.	-	-

# 6-9
0	Vroeger	-	-
1	kon	-	-
2	je	-	-
3	daar	-	-
4	op	-	-
5	aan	-	-
6	.	-	-
7	"	-	-

# 6-10
0	God	-	-
1	zuchtte	-	-
2	.	-	-

# 6-11
0	Hij	B-AGENT	8
1	zou	O	-
2	er	O	-
3	morgen	O	-
4	eens	O	-
5	met	O	-
6	Potgieter	O	-
7	over	O	-
8	spreken	IRREALIS	-
9	.	O	-

# 6-12
0	Je	B-AGENT	1
1	had	IRREALIS	-
2	tegenwoordig	O	-
3	niets	O	-
4	dan	O	-
5	narigheid	O	-
6	aan	O	-
7	je	O	-
8	hoofd	O	-
9	.	O	-

# 7-1
0	Daar	O	-
1	beneden	O	-
2	in	O	-
3	de	O	-
4	Leidsche	O	-
5	straat	O	-
6	liep	REALIS	-
7	een	B-AGENT	6
8	meisje	I-AGENT	6
9	.	O	-

# 7-2
0	Met	O	-
1	vaderlijk	O	-
2	welgevallen	O	-
3	zag	REALIS	-
4	God	B-AGENT	3
5	op	O	-
6	haar	B-PATIENT	3
7	neer	O	-
8	.	O	-

# 7-3
0	Het	B-AGENT	2,32
1	meisje	I-AGENT	2,32
2	was	REALIS	-
3	als	O	-
4	honderde	O	-
5	andere	O	-
6	meisjes	O	-
7	dien	O	-
8	zomer	O	-
9	,	O	-
10	heelemaal	O	-
11	in	O	-
12	't	O	-
13	wit	O	-
14	,	O	-
15	zijden	O	-
16	blouse	O	-
17	,	O	-
18	korte	O	-
19	frotté	O	-
20	rok	O	-
21	,	O	-
22	witte	O	-
23	kousen	O	-
24	,	O	-
25	fijne	O	-
26	enkeltjes	O	-
27	en	O	-
28	lage	O	-
29	witte	O	-
30	schoentjes	O	-
31	en	O	-
32	had	REALIS	-
33	lieve	O	-
34	oogen	O	-
35	als	O	-
36	honderde	O	-
37	andere	O	-
38	meisjes	O	-
39	in	O	-
40	Amsterdam	O	-
41	.	O	-

# 7-4
0	Oogen	B-AGENT	2,8
1	die	O	-
2	kijken	REALIS	-
3	alsof	O	-
4	ze	O	-
5	iets	O	-
6	heel	O	-
7	bijzonders	O	-
8	weten	IRREALIS	-
9	.	O	-

# 7-5
0	Dat	O	-
1	vonden	REALIS	-
2	ze	B-AGENT	1
3	ook	O	-
4	weer	O	-
5	niet	O	-
6	goed	O	-
7	.	O	-

# 7-6
0	Nooit	O	-
1	had	O	-
2	ons	B-AGENT	9
3	Lieve	I-AGENT	9
4	Heer	I-AGENT	9
5	daar	O	-
6	vroeger	O	-
7	iets	O	-
8	bij	O	-
9	gedacht	IRREALIS	-
10	.	O	-

# 7-7
0	En	O	-
1	nu	O	-
2	had	REALIS	-
3	-ie	B-AGENT	2
4	kwestie	O	-
5	.	O	-

# 7-8
0	't	O	-
1	Was	REALIS	-
