# 2-1
0	TITAANTJES	O	-
1	.	O	-

# 3-1
0	I.	-	-

# 4-1
0	Jongens	B-AGENT	1
1	waren	IRREALIS	-
2	we	O	-
3	-	O	-
4	maar	O	-
5	aardige	O	-
6	jongens	O	-
7	.	O	-

# 4-2
0	Al	O	-
1	zeg	IRREALIS	-
2	ik	B-AGENT	1
3	't	O	-
4	zelf	O	-
5	.	O	-

# 4-3
0	We	B-AGENT	1
1	zijn	REALIS	-
2	nu	O	-
3	veel	O	-
4	wijzer	O	-
5	,	O	-
6	stakkerig	O	-
7	wijs	O	-
8	zijn	REALIS	-
9	we	B-AGENT	8
10	,	O	-
11	behalve	O	-
12	Bavink	B-AGENT	16
13	,	O	-
14	die	O	-
15	mal	O	-
16	geworden	REALIS	-
17	is	O	-
18	.	O	-

# 4-4
0	Wat	O	-
1	hebben	O	-
2	we	B-AGENT	6
3	al	O	-
4	niet	O	-
5	willen	O	-
6	opknappen	IRREALIS	-
7	.	O	-

# 4-5
0	We	B-AGENT	6
1	zouden	O	-
2	hun	O	-
3	wel	O	-
4	eens	O	-
5	laten	O	-
6	zien	REALIS	-
7	hoe	O	-
8	't	O	-
9	moest	REALIS	-
10	.	O	-

# 4-6
0	We	-	-
1	,	-	-
2	dat	-	-
3	waren	-	-
4	wij	-	-
5	,	-	-
6	met	-	-
7	z'n	-	-
8	vijven	-	-
9	.	-	-

# 4-7
0	Alle	B-AGENT	3
1	andere	I-AGENT	3
2	menschen	I-AGENT	3
3	waren	REALIS	-
4	"	O	-
5	ze	O	-
6	"	O	-
7	.	O	-

# 4-8
0	"	O	-
1	Ze	B-AGENT	6,9
2	"	O	-
3	,	O	-
4	die	O	-
5	niets	O	-
6	snapten	IRREALIS	-
7	en	O	-
8	niets	O	-
9	zagen	IRREALIS	-
10	.	O	-

# 4-9
0	"	O	-
1	Wat	O	-
2	?	O	-
3	"	O	-
4	zei	REALIS	-
5	Bavink	B-AGENT	4
6	,	O	-
7	"	O	-
8	God	O	-
9	?	O	-
10	je	B-AGENT	11
11	praat	IRREALIS	-
12	over	O	-
13	God	O	-
14	?	O	-

# 4-10
0	Hun	B-AGENT	3
1	warme	I-AGENT	3
2	eten	I-AGENT	3
3	is	REALIS	-
4	hun	O	-
5	God	O	-
6	.	O	-
7	"	O	-

# 4-11
0	Op	-	-
1	enkele	-	-
2	"	-	-
3	goeie	-	-
4	kerels	-	-
5	"	-	-
6	na	-	-
7	werd	-	-
8	iedereen	-	-
9	door	-	-
10	ons	-	-
11	veracht	-	-
12	.	-	-

# 4-12
0	Heel	O	-
1	stilletjes	O	-
2	zeg	REALIS	-
3	ik	B-AGENT	2
4	daar	O	-
5	nu	O	-
6	bij	O	-
7	:	O	-
8	"	O	-
9	En	O	-
10	niet	O	-
11	ten	O	-
12	onrechte	O	-
13	,	O	-
14	"	O	-
15	maar	O	-
16	dat	O	-
17	mag	O	-
18	niemand	O	-
19	hooren	IRREALIS	-
20	.	O	-

# 4-13
0	Ik	B-AGENT	1
1	ben	IRREALIS	-
2	nu	O	-
3	geen	O	-
4	held	O	-
5	meer	O	-
6	.	O	-

# 4-14
0	Je	B-AGENT	1
1	weet	IRREALIS	-
2	niet	O	-
3	hoe	O	-
4	je	B-AGENT	11
5	de	O	-
6	menschen	O	-
7	nog	O	-
8	eens	O	-
9	noodig	O	-
10	kunt	O	-
11	hebben	IRREALIS	-
12	.	O	-

# 4-15
0	En	O	-
1	Hoyer	B-AGENT	2
2	vindt	REALIS	-
3	ook	O	-
4	dat	O	-
5	je	B-AGENT	9
6	geen	O	-
7	aanstoot	O	-
8	moet	O	-
9	geven	IRREALIS	-
10	.	O	-

# 4-16
0	Van	O	-
1	Bekker	B-PATIENT	2,4
2	zie	IRREALIS	-
3	of	O	-
4	hoor	IRREALIS	-
5	je	B-AGENT	2,4
6	niks	O	-
7	meer	O	-
8	.	O	-

# 4-17
0	En	O	-
1	Kees	B-AGENT	3,14
2	Ploeger	I-AGENT	3,14
3	praat	REALIS	-
4	van	B-AGENT	14
5	die	I-AGENT	14
6	rare	I-AGENT	14
7	kerels	I-AGENT	14
8	die	O	-
9	'm	O	-
10	op	O	-
11	den	O	-
12	slechten	O	-
13	weg	O	-
14	brachten	REALIS	-
15	.	O	-

# 4-18
0	Maar	O	-
1	toen	O	-
2	waren	REALIS	-
3	we	B-AGENT	2
