# 1-1
0	EERSTE	O	-
1	HOOFDSTUK	O	-

# 2-1
0	Ik	B-AGENT	1,7
1	ben	REALIS	-
2	makelaar	O	-
3	in	O	-
4	koffie	O	-
5	,	O	-
6	en	O	-
7	woon	REALIS	-
8	op	O	-
9	de	O	-
10	Lauriergracht	O	-
11	,	O	-
12	N	O	-
13	°	O	-
14	37	O	-
15	.	O	-

# 2-2
0	Het	O	-
1	is	IRREALIS	-
2	mijn	O	-
3	gewoonte	O	-
4	niet	O	-
5	,	O	-
6	romans	O	-
7	te	O	-
8	schrijven	REALIS	-
9	,	O	-
10	of	O	-
11	zulke	O	-
12	dingen	O	-
13	,	O	-
14	en	O	-
15	het	O	-
16	heeft	O	-
17	dan	O	-
18	ook	O	-
19	lang	O	-
20	geduurd	REALIS	-
21	,	O	-
22	voor	O	-
23	ik	B-AGENT	26,33
24	er	O	-
25	toe	O	-
26	overging	REALIS	-
27	een	O	-
28	paar	O	-
29	riem	O	-
30	papier	O	-
31	extra	O	-
32	te	O	-
33	bestellen	REALIS	-
34	,	O	-
35	en	O	-
36	het	B-AGENT	38,51,56
37	werk	I-AGENT	38,51,56
38	aantevangen	REALIS	-
39	,	O	-
40	dat	O	-
41	gij	O	-
42	,	O	-
43	lieve	B-AGENT	51,56,63,70
44	lezer	I-AGENT	51,56,63,70
45	,	O	-
46	zoo-even	O	-
47	in	O	-
48	de	O	-
49	hand	O	-
50	hebt	O	-
51	genomen	REALIS	-
52	,	O	-
53	en	O	-
54	dat	O	-
55	ge	O	-
56	lezen	REALIS	-
57	moet	O	-
58	als	O	-
59	ge	O	-
60	makelaar	O	-
61	in	O	-
62	koffie	O	-
63	zijt	IRREALIS	-
64	,	O	-
65	of	O	-
66	als	O	-
67	ge	O	-
68	wat	O	-
69	anders	O	-
70	zijt	IRREALIS	-
71	.	O	-

# 2-3
0	Niet	O	-
1	alleen	O	-
2	dat	O	-
3	ik	B-AGENT	6
4	nooit	O	-
5	iets	B-PATIENT	6
6	schreef	IRREALIS	-
7	wat	O	-
8	naar	O	-
9	een	O	-
10	roman	O	-
11	geleek	IRREALIS	-
12	,	O	-
13	maar	O	-
14	ik	B-AGENT	15,24
15	houd	IRREALIS	-
16	er	O	-
17	zelfs	O	-
18	niet	O	-
19	van	O	-
20	,	O	-
21	iets	O	-
22	dergelijks	O	-
23	te	O	-
24	lezen	REALIS	-
25	,	O	-
26	omdat	O	-
27	ik	B-AGENT	32
28	een	O	-
29	man	O	-
30	van	O	-
31	zaken	O	-
32	ben	REALIS	-
33	.	O	-

# 2-4
0	Sedert	O	-
1	jaren	O	-
2	vraag	REALIS	-
3	ik	B-AGENT	2
4	mij	O	-
5	af	O	-
6	,	O	-
7	waartoe	O	-
8	zulke	B-AGENT	10
9	dingen	I-AGENT	10
10	dienen	IRREALIS	-
11	,	O	-
12	en	O	-
13	ik	B-AGENT	14
14	sta	REALIS	-
15	verbaasd	O	-
16	over	O	-
17	de	O	-
18	onbeschaamdheid	O	-
19	,	O	-
20	waarmede	O	-
21	een	B-AGENT	31
22	dichter	I-AGENT	31
23	of	O	-
24	romanverteller	B-AGENT	31
25	u	O	-
26	iets	O	-
27	op	O	-
28	de	O	-
29	mouw	O	-
30	durft	O	-
31	spelden	IRREALIS	-
32	,	O	-
33	dat	O	-
34	nooit	O	-
35	gebeurd	IRREALIS	-
36	is	O	-
37	,	O	-
38	en	O	-
39	meestal	O	-
40	niet	O	-
41	gebeuren	IRREALIS	-
42	kan	O	-
43	.	O	-

# 2-5
0	Als	O	-
1	ik	O	-
2	in	O	-
3	mijn	O	-
4	vak	O	-
5	-	O	-
6	ik	B-AGENT	7,13,35
7	ben	REALIS	-
8	makelaar	O	-
9	in	O	-
