# 1-1
0	Hoofdstuk	O	-
1	I.	O	-

# 2-1
0	I.	O	-

# 3-1
0	Men	B-AGENT	1
1	verdrong	REALIS	-
2	zich	O	-
3	in	O	-
4	de	O	-
5	,	O	-
6	tot	O	-
7	kleedkamer	O	-
8	ingerichte	O	-
9	,	O	-
10	eetzaal	O	-
11	.	O	-

# 3-2
0	Voor	O	-
1	een	O	-
2	psyché	O	-
3	stond	REALIS	-
4	Frédérique	B-AGENT	3
5	Van	I-AGENT	3
6	Erlevoort	I-AGENT	3
7	,	O	-
8	met	O	-
9	loshangende	O	-
10	haren	O	-
11	,	O	-
12	zeer	O	-
13	bleek	O	-
14	onder	O	-
15	een	O	-
16	dunne	O	-
17	laag	O	-
18	poudre-de-riz	O	-
19	,	O	-
20	de	B-AGENT	28
21	wenkbrauwen	I-AGENT	28
22	als	O	-
23	door	O	-
24	een	O	-
25	enkele	O	-
26	penseelstreek	O	-
27	zwarter	O	-
28	getint	REALIS	-
29	.	O	-

# 4-1
0	-	O	-
1	Haast	IRREALIS	-
2	je	O	-
3	dan	O	-
4	toch	O	-
5	,	O	-
6	Paul	B-AGENT	1
7	!	O	-

# 4-2
0	We	B-AGENT	1
1	komen	IRREALIS	-
2	niet	O	-
3	klaar	O	-
4	!	O	-
5	zeide	REALIS	-
6	ze	B-AGENT	5
7	,	O	-
8	een	O	-
9	weinig	O	-
10	ongeduldig	O	-
11	,	O	-
12	met	O	-
13	een	O	-
14	blik	O	-
15	op	O	-
16	de	O	-
17	pendule	O	-
18	.	O	-

# 5-1
0	Voor	O	-
1	haar	O	-
2	knielde	REALIS	-
3	Paul	B-AGENT	2
4	Van	I-AGENT	2
5	Raat	I-AGENT	2
6	,	O	-
7	en	O	-
8	zijn	B-AGENT	10
9	vingers	I-AGENT	10
10	plooiden	REALIS	-
11	een	B-PATIENT	10
12	langen	I-PATIENT	10
13	,	I-PATIENT	10
14	ijlen	I-PATIENT	10
15	sluier	I-PATIENT	10
16	,	O	-
17	van	O	-
18	goud	O	-
19	en	O	-
20	karmozijn	O	-
21	,	O	-
22	als	O	-
23	een	O	-
24	draperie	O	-
25	om	O	-
26	haar	O	-
27	middel	O	-
28	.	O	-

# 5-2
0	De	B-AGENT	2
1	stof	I-AGENT	2
2	wolkte	REALIS	-
3	op	O	-
4	het	B-PATIENT	2
5	roze	I-PATIENT	2
6	fond	I-PATIENT	2
7	van	I-PATIENT	2
8	haar	I-PATIENT	2
9	onderkleed	I-PATIENT	2
10	;	O	-
11	haar	B-AGENT	22,24
12	hals	I-AGENT	22,24
13	en	O	-
14	armen	B-AGENT	22,24
15	waren	O	-
16	,	O	-
17	sneeuwwit	O	-
18	van	O	-
19	de	O	-
20	veloutine	O	-
21	,	O	-
22	vrijgelaten	REALIS	-
23	en	O	-
24	flonkerden	REALIS	-
25	in	O	-
26	den	O	-
27	glans	O	-
28	van	O	-
29	,	O	-
