# 1-1
0	BOEK	O	-
1	I.	O	-

# 2-1
0	EEN	O	-
1	RECHTVAARDIGE	O	-
2	.	O	-

# 3-1
0	EERSTE	O	-
1	HOOFDSTUK	O	-
2	.	O	-

# 4-1
0	M.	O	-
1	MYRIEL	O	-
2	.	O	-

# 5-1
0	In	-	-
1	het	-	-
2	jaar	-	-
3	1815	-	-
4	was	-	-
5	de	-	-
6	heer	-	-
7	Charles-François-Bienvenu	-	-
8	Myriel	-	-
9	bisschop	-	-
10	van	-	-
11	Digne	-	-
12	.	-	-

# 5-2
0	Hij	B-AGENT	1,11
1	was	REALIS	-
2	een	O	-
3	grijsaard	O	-
4	van	O	-
5	omstreeks	O	-
6	vijf	O	-
7	en	O	-
8	zeventig	O	-
9	jaren	O	-
10	en	O	-
11	bekleedde	REALIS	-
12	de	B-PATIENT	11
13	waardigheid	I-PATIENT	11
14	van	I-PATIENT	11
15	bisschop	I-PATIENT	11
16	sedert	O	-
17	1806	O	-
18	.	O	-

# 6-1
0	Hoewel	O	-
1	deze	B-AGENT	7
2	bijzonderheid	I-AGENT	7
3	eigenlijk	O	-
4	niets	O	-
5	te	O	-
6	maken	O	-
7	heeft	REALIS	-
8	met	O	-
9	de	O	-
10	hoofdzaak	O	-
11	van	O	-
12	ons	O	-
13	verhaal	O	-
14	,	O	-
15	heeft	REALIS	-
16	het	O	-
17	misschien	O	-
18	toch	O	-
19	zijn	O	-
20	nut	O	-
21	,	O	-
22	al	O	-
23	was	O	-
24	het	O	-
25	maar	O	-
26	om	O	-
27	niet	O	-
28	te	O	-
29	vergeten	IRREALIS	-
30	,	O	-
31	hier	O	-
32	te	O	-
33	wijzen	IRREALIS	-
34	op	O	-
35	de	B-PATIENT	33,46
36	geruchten	I-PATIENT	33,46
37	en	I-PATIENT	33,46
38	praatjes	I-PATIENT	33,46
39	,	O	-
40	die	O	-
41	er	O	-
42	omtrent	O	-
43	hem	O	-
44	in	O	-
45	omloop	O	-
46	waren	REALIS	-
47	op	O	-
48	het	O	-
49	tijdstip	O	-
50	,	O	-
51	dat	O	-
52	hij	B-AGENT	57
53	tot	O	-
54	genoemde	O	-
55	waardigheid	O	-
56	werd	O	-
57	bevorderd	REALIS	-
58	.	O	-

# 6-2
